2019-11-03 22:42:54,"b'I am a delicate desert flower and I need like a personal greenhouse, only not humid cause \xe2\x80\x9cdesert,\xe2\x80\x9d it turns out, is a key word there.'",,
2019-11-03 22:42:32,b'@3aoutofnowhere Maybe is the key word ahah',,
2019-11-03 22:42:17,"b""@Thomas1774Paine The key word here that will have everyone setting up and hanging on every word what's his name say\xe2\x80\xa6 https://t.co/VUyeaj24LX""",,
2019-11-03 22:38:58,b'RT @GillianLazarus: I think most of the contributors here are American but the admins are British: Marino Robles (UK Labour) &amp; Rita Allison\xe2\x80\xa6',,
2019-11-03 22:38:29,b'RT @killaaav: Key word: budgeting. Trick yourself into thinking you\xe2\x80\x99re broke. Open a bank account just for savings and set up direct deposi\xe2\x80\xa6',,
2019-11-03 22:38:15,b'@OnceDoDo I\xe2\x80\x99ll go by key word hopefully',,
2019-11-03 22:38:04,b'@myskzluv @Potterhead6734 @mqrkklee @tinyjoongz @Day6Ahgase key word: YET',,
2019-11-03 22:37:37,b'@gtconway3d Key word: sensible. See reply today:\n\nhttps://t.co/NpbPSmhjew',,
2019-11-03 22:35:56,"b'@FilmHistoryPic Key word here is Written, musicians these days can never reach this level of ability'",,
2019-11-03 22:35:42,b'@MalenaM @Marvel 1) She can absorb humans / mutants persona and powers at will if she is in the right mental state.\xe2\x80\xa6 https://t.co/UmDqcBNZ1f',,
2019-11-03 22:35:40,b'Key word #Knowingly https://t.co/Nd4P7jHbcF',,
2019-11-03 22:35:21,b'@realDonaldTrump Key word is Majority. You are the #socalledpresident',,
2019-11-03 22:34:30,b'@sheaveno Nearly being the key word',,
2019-11-03 22:33:48,b'@FrancynePace \xe2\x80\x9cPatience\xe2\x80\x9d is the key word HAHAHA',,
2019-11-03 22:32:50,b'RT @ImSo_Petty: Now a days girl code doesn\xe2\x80\x99t even exist to some of these hoes key word \xe2\x80\x9choes\xe2\x80\x9d',,
2019-11-03 22:32:23,b'RT @_jaylean: I hope we all get the things we deserve out of life.\n\nKey word: deserve.\nHope you were a good person.',,
2019-11-03 22:30:43,"b""@dannyoneil Trying key word!!! Can't make them either!!!""",,
2019-11-03 22:29:38,"b'@ThatOtherDrake \xe2\x80\x9cYet"" the key word'",,
2019-11-03 22:28:40,b'PIETRAPIERCE STORY: THE KEY WORD IN THE HISTORY OF PIETRAPERZIA https://t.co/K9iXoLrOoK',,
2019-11-03 22:28:37,"b""@LBreezy904 @LexBunny Key word it's more than the QB.... This is what the Mariota STANS as some have called me and\xe2\x80\xa6 https://t.co/1bTvytYFxT""",,
2019-11-03 22:27:56,"b'RT @raypjrone: @MadisonSedona @SexistTrash @tvill_chris @realDonaldTrump ""Dependent"" is the key word'",,
2019-11-03 22:26:01,b'key word: right https://t.co/qOq2ri3LZy',,
2019-11-03 22:25:48,b'RT @_jaylean: I hope we all get the things we deserve out of life.\n\nKey word: deserve.\nHope you were a good person.',,
2019-11-03 22:24:45,"b'@realDonaldTrump YUP! KEY WORD:  MAJORITY \n\nTHAT\xe2\x80\x99S NOT YOUR BASE, BOY-O.'",,
2019-11-03 22:23:16,b'@411wrestling Key word...**Now**',,
2019-11-03 22:21:25,b'@jmhx224 @HYPEX Key word perma',,
